"finding_id","creator_or_channel","video_url","original_adjudicated_priority","strict_bucket","strict_disposition","strict_basis","published_as_proven_violation"
"A-01","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=MtKBGJCzjzM","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-02","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=wUTbACQP_iU","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-03","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=eG-Ncxh5B_U","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-04","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=jEGH3cJRtvE","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-05","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=N3QjbDDZOX4","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-06","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=tXs9-BEqNnI","low","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-07","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=aoj_5L4z7EE","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-08","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=nY2c1YfRnQU","low","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-09","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=IPiZW0oyOOQ","low","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"A-10","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=H0OpYIiF1P4","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"A-11","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=D4_9pIaYPy4","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"A-12","Aundrea Dudik / Living in Central Texas","https://www.youtube.com/watch?v=mzBB7iNhtQc","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"BG-01","Brina Gordon / Moving to Killeen Texas","https://www.youtube.com/watch?v=uyDO9TayGyE; https://www.youtube.com/watch?v=5uMDm9LyH1Q","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"BG-02","Brina Gordon / Moving to Killeen Texas","https://www.youtube.com/watch?v=Ew8I089mGIw; https://www.youtube.com/watch?v=86piIrNULjU; https://www.youtube.com/watch?v=mt3S1pflqxM; https://www.youtube.com/watch?v=tEjSZkQ5OWk","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"BG-03","Brina Gordon / Moving to Killeen Texas","https://www.youtube.com/watch?v=1u3RA7NaVJU; https://www.youtube.com/watch?v=tEjSZkQ5OWk","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"BPM-01","Century 21 Premier Realtors","https://www.youtube.com/watch?v=SEnO3JedXcg; https://www.youtube.com/watch?v=zrwqx1S0JYU","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"BPM-02","Century 21 Premier Realtors","https://www.youtube.com/watch?v=mmGVWB_fako","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"BPM-03","Century 21 Premier Realtors","https://www.youtube.com/watch?v=uUkY_pvzyxE","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"BPM-04","Century 21 Premier Realtors","https://www.youtube.com/watch?v=0NuxTp_35HI","low","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
