channel_id	channel_name	current_lane	recommended_lane	basis	confidence
UCJs_jBKFIBm0o4HZg1mLMKQ	Stephen Harris - Selling Central Texas	full_channel_local_creator	full_channel_local_creator	Current public profile lists a Killeen office and the channel is built around the Killeen-Central Texas market.	high
UCvwxIfW2u71mpzrKastNbDg	Real Estate Steph CTX	full_channel_local_creator	full_channel_local_creator	Same locally based Killeen creator and team as Stephen Harris; separate channel identity does not change the creator-level scope.	high
UCZvWg96vLbA3eGHCwnf3RRQ	Century 21 Premier Realtors	full_channel_local_creator	full_channel_local_creator	Copperas Cove and Killeen-area brokerage with a sustained local catalog.	high
UCfDOrNekvd28MKc_S897MsQ	Elizabeth Thomas - Fort Hood Homes Group	full_channel_local_creator	full_channel_local_creator	Fort Hood-Central Texas creator whose business and catalog center on Killeen and neighboring target cities.	high
UCKVWHDP86oKOt6yZOH4lMEA	Shelly Salas - Your Home Sold Guaranteed	full_channel_local_creator	full_channel_local_creator	Local Killeen-Central Texas brokerage executive with a sustained locally produced real-estate catalog.	high
UCH_q3yrfScCGPYzSr9VVwGQ	Home in Texas Team	full_channel_local_creator	full_channel_local_creator	Channel profile identifies a Temple-Belton mother-daughter real-estate team with long-term local practice.	high
UC3Wl4C9al_GLLFSe5nBSg6A	Hood Homes Blog - Brian E Adams	full_channel_local_creator	full_channel_local_creator	Fort Hood-area housing creator with recurring Killeen-Harker Heights-Copperas Cove coverage.	high
UCQIRCIpmSGFVbRXK6OYg6zA	PRC Properties Group	full_channel_local_creator	full_channel_local_creator	Locally based Temple-Belton-Killeen-Copperas Cove-Harker Heights real-estate team.	high
UCKC2Qfjps_rzW0-lUQIP7KA	Nestled With Whitney	full_channel_local_creator	full_channel_local_creator	Current agent profiles place Whitney Bell with a Harker Heights brokerage and in the Killeen market.	high
UCApMznnU70goY-0ucOaQNXA	CENTRAL TEXAS LIVING - Frank Adams	full_channel_local_creator	full_channel_local_creator	Channel profile and catalog explicitly center on moving to Killeen and the Fort Hood market.	high
UClKGrQTetWA6uF2ti9xSzhA	Shay Harris Broker MBA - Fort Hood TX	full_channel_local_creator	full_channel_local_creator	Fort Hood-Central Texas broker whose channel and practice are anchored in the target market.	high
UCjlRZ6P2r9NV3NQtGwWuBjg	Living at Fort Hood - Hanna Smelser	full_channel_local_creator	full_channel_local_creator	Channel profile identifies the creator as a Killeen native and Fort Hood-area real-estate professional.	high
UCMDuSkrGqJn-qnLynaC60jQ	Alberto Lopez Realtor	full_channel_local_creator	full_channel_local_creator	Fort Hood specialist with recurring Killeen-Harker Heights-Temple-Copperas Cove content.	high
UCMfrI9m3oMyJsWco8Fq05Uw	James Jim Garvey eXp Realty	full_channel_local_creator	full_channel_local_creator	Channel profile and catalog establish a Temple-Belton real-estate creator.	high
UCa5bz6lCwdTX6HQfzlOdZFA	Sandee Payne	full_channel_local_creator	full_channel_local_creator	Current public business profile lists a Harker Heights office at 220 Commercial Drive.	high
UCGhBS7DKFyz9F54RfrBucQw	John Reider Properties	full_channel_local_creator	full_channel_local_creator	Current public business profile lists a Harker Heights office and the catalog is local property-management content.	high
UChfEhOd71uTgQaZPyy7rN-w	John Reider Properties second channel	full_channel_local_creator	full_channel_local_creator	Second channel of the same Harker Heights-based property-management brokerage.	high
UCC_f7viNGfRPH0gSnTsHlFw	Duplexes in Killeen Texas	full_channel_local_creator	full_channel_local_creator	Channel is tied to Flintrock Builders; its public corporate office is in Belton and the catalog is Killeen housing.	high
UCoSJo2-rE7ddishWTzj9sAA	Killeen to Austin Living - Darren Saint-Surin	full_channel_local_creator	full_channel_local_creator	Public profile evidence places the creator at Fort Cavazos and the channel repeatedly covers Killeen-Copperas Cove-Nolanville.	medium
UCdGuhzT0IUrH81vQN9tY6MQ	Linnemann Realty	full_channel_local_creator	full_channel_local_creator	Killeen-based brokerage with sustained Killeen-Harker Heights-Copperas Cove-Temple coverage.	high
UChC-ZIQbKzAX5FAdCg7FAfg	Linnemann Realty second channel	full_channel_local_creator	full_channel_local_creator	Second channel of the same Killeen-based brokerage.	high
UCSKCjpoNVdfYTFxHy-jS_VA	Cloud Real Estate	full_channel_local_creator	full_channel_local_creator	Killeen-based brokerage and property-management business with a local catalog.	high
UCw9DgzcPb_rhdp3VHFFo_8Q	Jean Shine - Shine Team Realtors	full_channel_local_creator	full_channel_local_creator	Established Killeen-Central Texas brokerage team with sustained local-market content.	high
UC8QQMyzGJEVql8HRpcNHhyw	Central Texas Living - Dom McShan	full_channel_local_creator	direct_target_videos_only	Current public profile places Dom McShan in Dallas-Fort Worth; the old channel contains target-city videos but no in-window uploads.	high
UCJn5yVbactAJ84qeDb22Htg	People 1st Realty - Gloria Watson	full_channel_local_creator	full_channel_local_creator	Current personal profile places Gloria Watson in Temple and her own Bell County content describes the area as where she lives; a Georgetown business mailing address does not outweigh creator-residence evidence.	medium
UC-_SuyK4REF_TH5r1W2nQmw	Expert Rentals and Property Management	full_channel_local_creator	full_channel_local_creator	Killeen-Fort Hood property-management business with a locally focused catalog.	high
UClinBn5SPDXw59ekiWude1A	HH Rental Properties	full_channel_local_creator	full_channel_local_creator	Harker Heights rental-housing business whose channel is inherently local.	high
UCVti4lMHZRwMQT83RrXTIrg	ELITE Realty Professionals Group	full_channel_local_creator	direct_target_videos_only	Current official business profile is based in Georgetown; the team serves the target cities, so only videos directly tied to them belong in scope.	high
UCm-ak6OuI6VnRU7xJbfndMw	Lisa Kamprath Realtor Belton TX	full_channel_local_creator	full_channel_local_creator	Current public profile places Lisa Kamprath in Belton and documents ongoing civic and real-estate activity there.	high
UC90LU7ZlcBNcni9cWgESSOQ	Luke Johnston - Central Texas Real Estate	full_channel_local_creator	direct_target_videos_only	Profile establishes a broad Central Texas service area but not an actual base in one of the six cities; both known uploads predate the audit window.	medium
UClhphoG2zMHA6r7nNyLFLgA	Samantha Hammonds - Central TX Realtor	full_channel_local_creator	full_channel_local_creator	Fort Hood-Killeen-area agent with current local transactions and recurring target-market content.	high
UCoht3EiOo8EqRe5exkOAH8w	New Builds in Central Texas	full_channel_local_creator	full_channel_local_creator	Creator has repeated Temple-Bell County community and business ties and a consistently local new-construction catalog; the Austin-Waco address is the supervising brokerage address.	medium
UCr69-cf-6VLWlDIyi71v13g	Jessica Doree TX Premier Realty	full_channel_local_creator	full_channel_local_creator	Current association and transaction evidence places the creator in Central Texas with sustained Killeen-Harker Heights-Belton work despite an inconsistent generic profile page.	medium
UCrN5LHFTL2qwkmd9z-90RgA	Carmen Colon Homes Team - Keller Williams	full_channel_local_creator	full_channel_local_creator	Killeen-office real-estate team serving and repeatedly covering the six-city target market.	high
UClqYZw4Suu5WVPGFlm8Tgeg	i35Group at Keller Williams	full_channel_local_creator	full_channel_local_creator	Public team profile identifies Killeen as its location and the catalog repeatedly covers the Killeen-Temple-Belton corridor.	high
UCv13WrX5B7qp6TIGskYpDDQ	Ott Group Realty - Homestead Real Estate	full_channel_local_creator	full_channel_local_creator	Copperas Cove-based broker and locally focused real-estate channel.	high
UCCXc67-4lyPeo_P-HFiPTSg	Maria Jones Hall Realtor	full_channel_local_creator	full_channel_local_creator	Current professional profiles place the creator in Belton and the Temple-Belton real-estate market.	high
UCGEXUfJdSCBPtgWeF8Dl4lw	Robert Herrings Jr	full_channel_local_creator	full_channel_local_creator	Current public business profile lists a Copperas Cove office; the high-volume catalog remains a local creator catalog.	high
UCblhSimaUbM15R-kGm-0J1A	At Home in Texas	full_channel_local_creator	direct_target_videos_only	Handle identifies At Home in North Texas and the 5000-plus-video Coldwell Banker syndication feed spans markets far beyond the six cities; retain only direct target-city videos.	high
UCZAiPx4wER-v-Q4avEhVTZg	Sujin Park Henson	full_channel_local_creator	full_channel_local_creator	Current public business profile lists a Killeen office at 6300 South Fort Hood Street.	high
UCkhp-b2FIwAZVlV6kRN-1mg	Rheajane Taylor	full_channel_local_creator	full_channel_local_creator	Years of first-person day-in-the-life and errand videos in Killeen-Temple-Belton-Harker Heights establish a local creator, not a one-off city mention.	medium
UCMKRSmq9b8V07K9y4Zyfx_Q	Joanna Pearce	full_channel_local_creator	full_channel_local_creator	Current public brokerage profile lists a Copperas Cove office and the catalog repeatedly covers Copperas Cove-Harker Heights.	high
UCDKBmfDQL51l_qsamkhGYHw	Teresa Ingram	full_channel_local_creator	full_channel_local_creator	Current Century 21 profile lists a Copperas Cove office and the channel repeatedly covers Copperas Cove-Nolanville.	high
UCiDEHqXl4HEWQZ4mZ1nsbtQ	Twins Realty Team	full_channel_local_creator	full_channel_local_creator	Temple Chamber and team profiles establish a Temple-based real-estate business serving Central Texas.	high
UCimsnaM-sbxLf-fp45KZgNw	Lovejoy Homes Realty	full_channel_local_creator	direct_target_videos_only	Current official profile places the brokerage in Allen; Belton listing videos are direct target hits within a broader North Texas-statewide catalog.	high
UCfS8-4IPB1bN8oN1N2zqsSw	Spradley Properties	full_channel_local_creator	full_channel_local_creator	Temple-Belton property-management business with current local rental-tour content.	high
UCW0Vt4ukxSblQWRyLF_l6GA	Nahir Diaz Realtor	full_channel_local_creator	full_channel_local_creator	Current profile says the creator returned to Killeen to put down roots and works from a Copperas Cove brokerage office.	high
