channel_id	channel_name	search_hit_count	example_video_ids/titles	reason_for_review	confidence	recommended_action
UCG8QDUqWOBEV0EZdFCPzBXg	Century 21 Premier Relators	16	U3QRJbw3pD4 :: 2315 Mary Lane Killeen, TX 76543 | Century 21 Premier | Homes for Sale || SmulWTsHG78 :: 714 China Road Copperas Cove, TX 76522 | Century 21 Premier | Find Homes for Sale || jT3QKE-FIJE :: 117 North Drive Copperas Cove, TX 76522 | Century 21 Premier | Top Real Estate Agent	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCVfUGN4gxcLeWzP5K_fPgnA	Palm Harbor	14	3YJ574l0GEE :: Move in ready home in Belton, Tx || -BeUpTvPKyE :: Palm Harbor Supercenter in Killeen, Texas || RRFjgwtQoGs :: Move in Ready home in Harker Heights, Tx	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCmdryrgNmYM2DtJwQNq9P_w	Asad Shaikh - Texas Realtor	13	DZ8_HsN758Y :: 6603 Taree Loop, Killeen, TX Presented by Asad Shaikh. || 2XrMVEaOEn0 :: 6603 Taree Loop, Killeen, TX Presented by Asad Shaikh. || KS3-jSG_uUo :: 6603 Taree Loop, Killeen, TX Presented by Asad Shaikh.	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCnR6lhPtfohqYCQlb1f9uuQ	Albert Chen - AATX Residential	10	POqGsOfXwGI :: Nolanville, Texas Home | Bella Charca | 2,300+ SF	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCPbTQjfJhPIGbWWf-fT4Arw	John Sanders	10	aNUGFnffJ6A :: Nolanville Texas New Home Community || Ow_lSoNveqo :: Nolanville Texas New Homes || mRjv_X-PjMs :: Nolanville Texas Home Builder	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCMqPqekyjmpLouPBXBNDUOg	Ron Real Estate Life	7	Jq9NouZc_BM :: 5603 Siltstone Killeen , TX 76542 - Visual Tour || lydivhsxxzU :: New Home Builder Spotlight - Shanondoah Homes, Harker Heights TX || i84ysP_Za9Y :: 103 Julia, Copperas Cove TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCilpr3lWbZ0AM_NoVF3oD8g	The Adam Olsen Team	6	xJe5ftvf1hA :: Gorgeous 3 bed 2 bath home in Temple, TX!	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCFH8kizFSAK8n2F8Rj_kKUw	Jimmy Clark Homes	6	av1pNk-6iRQ :: Jimmy Clark Homes Model Home Tour | Copperas Cove, TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCatgc79aqbQYQQkpNVXfb3A	rennerrealty	5	rtxESd1DzFk :: Temple, TX Investment Property Tour | Pecan Creek | DR Horton Homes Near Baylor Scott & White || aFxx-dgc5uA :: Austin Real Estate Market Update 2026 | Is the Market Finally Recovering? Temple TX Investment Boom	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCxNVaIh7kxWGQqb13jylC1g	J a m a i c a P e r r y	5	usfMOCR2avI :: What $240,000 Will Buy You in Temple Texas! || 6a3aNoz0ME8 :: Homes For Sale In Temple Texas | Hartrick Valley Estates | Bell County || sTyLcKbeKeY :: Reasons to Move to Belton Texas	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
