"source_report","finding_id","creator_or_channel","date","video_title","video_url","video_id","evidence_excerpt","timestamp","category_or_rule","severity","confidence","classification","missing_context","required_follow_up","adjudicated_priority","adjudicated_label","final_report_treatment"
"supplemental-gap-final-review.csv","GAP-AUTH-01","Asad Shaikh - Texas Realtor","2024-10-11","4602 Janelle Drive, Killeen, TX Presented by Asad Shaikh.","https://www.youtube.com/watch?v=BJbLtJe9rKo","BJbLtJe9rKo","“ideal for family living”; “private, fenced backyard—perfect for kids, pets, and outdoor gatherings”; “this home is ideal for military families looking for a quick and easy commute.”","Description (an automated-caption file was retrieved, but it contains only music/non-substantive text)","FHA 42 U.S.C. § 3604(c) / TREC § 531.19 familial-status wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent family/children dwelling-suitability wording; copy-remediation priority, not an adjudicated Fair Housing violation","The public description does not establish exclusion, intent, differential treatment, authorship of syndicated copy, or legal liability. Military status is not a cited protected class; its relevance here is only the separate family-suitability wording. The recovered captions do not provide corroborating spoken context, and on-screen text was not reviewed.","Have broker/compliance review the complete published asset and any linked/syndicated listing copy; replace household-composition wording with neutral property, amenity, commute, and location facts.","high","FHA 42 U.S.C. § 3604(c) / TREC § 531.19 familial-status wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"agent-findings-aundrea.md","A-12","Aundrea Dudik / Living in Central Texas","2025-02-18","Austin vs Temple vs Belton","https://www.youtube.com/watch?v=mzBB7iNhtQc","mzBB7iNhtQc","Description chapter: “Affordable, Growing, & Family-Friendly City of Temple & Belton TX.”","Description chapter 08:59","FHA §3604(c); TREC 531.19","Medium","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","No caption-supported spoken quote","Use neutral city/property facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-07","Aundrea Dudik / Living in Central Texas","2025-02-21","Tour This Massive Home in Temple — Wildflower Country Club","https://www.youtube.com/watch?v=aoj_5L4z7EE","aoj_5L4z7EE","Description: “A peaceful, family-friendly neighborhood with a strong sense of community.”","Description","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","No audio/caption repeat found; preserve description capture","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-11","Aundrea Dudik / Living in Central Texas","2025-03-14","Like-New Home in Nolanville TX","https://www.youtube.com/watch?v=D4_9pIaYPy4","D4_9pIaYPy4","Description: “an excellent choice for families seeking top-rated schools and a prime location.”","Description","School/crime/safety source, consistency, and neutral-recommendation review; not a Fair Housing violation conclusion","Medium","High excerpt; moderate legal-risk","Apparent familial-status wording plus school-source/consistency review; not a Fair Housing or steering violation finding.","School source verification","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-10","Aundrea Dudik / Living in Central Texas","2025-03-21","Temple TX Best New Construction Homes — Mesa Ridge","https://www.youtube.com/watch?v=H0OpYIiF1P4","H0OpYIiF1P4","Description: “a top choice for families prioritizing strong school districts!”","Description","School/crime/safety source, consistency, and neutral-recommendation review; not a Fair Housing violation conclusion","Medium","High excerpt; moderate legal-risk","Apparent familial-status wording plus school-source/consistency review; not a Fair Housing or steering violation finding.","Verify school characterization with cited source","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-01","Aundrea Dudik / Living in Central Texas","2025-05-30","Salado Texas EXPOSED","https://www.youtube.com/watch?v=MtKBGJCzjzM","MtKBGJCzjzM","Description: “including upscale Drake’s Landing and family-friendly Eagle Heights.” Captions: “Familyfriendly, newer development, close to everything.”","Description; 00:06:07–00:06:13","FHA §3604(c); TREC 531.19 familial-status preference","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","Whether phrase was changed; broker-approved fair-housing copy review","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-04","Aundrea Dudik / Living in Central Texas","2025-07-04","Central Texas Real Estate Market Update May 2025","https://www.youtube.com/watch?v=jEGH3cJRtvE","jEGH3cJRtvE","“Belton is gaining traction for ... familyfriendly.”","00:14:02–00:14:08","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","Confirm automatic-caption wording against audio","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-02","Aundrea Dudik / Living in Central Texas","2025-07-26","Temple Texas Hottest New Construction Community — Wilma’s Way","https://www.youtube.com/watch?v=wUTbACQP_iU","wUTbACQP_iU","Description chapter: “Why Wilma’s Way Temple TX Is Perfect for Families and Relocators.”","Description chapter 04:37","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","Spoken caption did not repeat phrase; retain visual/on-screen chapter display","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-03","Aundrea Dudik / Living in Central Texas","2025-08-08","Inside a $585,000 New Construction Home in Salado","https://www.youtube.com/watch?v=eG-Ncxh5B_U","eG-Ncxh5B_U","Description: “ample room to enjoy both indoor and outdoor living, making it ideal for families or anyone seeking luxury.”","Description","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","Normal broker/counsel review","Describe property features neutrally","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-aundrea.md","A-05","Aundrea Dudik / Living in Central Texas","2025-11-15","Touring Salado TX Newest Master-Planned Community — Stinnett Mill","https://www.youtube.com/watch?v=N3QjbDDZOX4","N3QjbDDZOX4","“People driving around on their golf carts. Very familyfriendly and just welcoming.”","00:04:26–00:04:32","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Apparent familial-status wording; copy-remediation priority, not a Fair Housing or TREC violation finding.","Confirm audio wording","Use neutral property/amenity facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-brina.md","BG-01","Brina Gordon / Moving to Killeen Texas","2025-12-06; 2025-12-13","How Soldiers Build Million-Dollar Portfolios With Their VA Loan; STOP Renting at Fort Hood Texas and Know What Your BAH Really Covers","https://www.youtube.com/watch?v=uyDO9TayGyE; https://www.youtube.com/watch?v=5uMDm9LyH1Q","uyDO9TayGyE; 5uMDm9LyH1Q","“soldiers at Fort Hood are using their zero down VA loan to secure six figure wealth, build million-dollar portfolios before they retire”; “That is how you have a million-dollar plus portfolio”; “more than likely over that million-dollar mark.” Second video: “Soldiers, stop renting”; use BAH on “something that can pay itself forward … that’s going to pay your kids, that’s going to pay you”; “use your BAH to cover your mortgage.”","00:00:40; 00:08:46; 00:09:39; 00:00:04; 00:00:38; 00:01:09","TREC Rule 535.155 misleading-or-likely-to-deceive standard; lender/VA/financial-advertising review","Moderate","Medium","Broker/counsel review flag; not a legal conclusion","Documented examples; material assumptions/costs/risks; lender/VA approval; whether disclosures appear elsewhere/on screen","Use conditional educational language; state VA eligibility, occupancy, entitlement, terms, taxes, insurance, reserves, rent/vacancy/repairs, and market-performance variability; route financing claims to licensed lender","high","Financial/outcome substantiation review","Include in high-priority broker/compliance review as an apparent advertising or disclosure concern; state no violation is determined."
"agent-findings-brina.md","BG-03","Brina Gordon / Moving to Killeen Texas","2026-06-19; 2026-03-14","Where to Retire in Central Texas in 2026; Killeen vs Temple vs Belton","https://www.youtube.com/watch?v=1u3RA7NaVJU; https://www.youtube.com/watch?v=tEjSZkQ5OWk","1u3RA7NaVJU; tEjSZkQ5OWk","“my favorite communities for retirees and empty nesters”; “senior citizen centers”; “[a] retirement community.” Second video: “Belton, but it is a very family oriented town.”","00:00:39; 00:02:29; 00:07:13; 00:12:22","Familial-status wording review; age-oriented language retained only as inclusive-copy review, with no age/HOPA violation conclusion","Moderate","Low-to-medium","Mixed age-oriented and familial-status wording review; age-oriented terms are inclusive-copy only, with no age/HOPA conclusion. Any direct family/child phrase remains a copy-remediation concern, not a violation finding.","Whether referenced community is lawfully age-qualified; whether this is a named-dwelling advertisement; neutral alternatives","Use neutral feature language; identify lawful 55+ status only after verification","high","Familial-status wording; age language retained only as inclusive-copy review","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
