"channel_id","channel_name","scope_lane","total_in_window_public_uploads_cataloged","uploads_with_caption_files","uploads_without_caption_files","evidence_mode","triage_recommended_action","scope_adjudication","source_categories","limitations","source_report_or_input"
"UCMDuSkrGqJn-qnLynaC60jQ","Alberto Lopez Realtor","authenticated_full_channel","96","67","29","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCZ9Nsthr_JYgY4-Kz9PDLsQ","Amanda RockStar Realtor","authenticated_full_channel","31","20","11","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCmdryrgNmYM2DtJwQNq9P_w","Asad Shaikh - Texas Realtor","authenticated_full_channel","27","9","18","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","discovery;root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC1oriuoiCEWyoV8MxiZjmOw","Brandon Mendoza","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCrN5LHFTL2qwkmd9z-90RgA","Carmen Colon Homes Team - Keller Williams","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCVyzhc2YHkbwLJU2_Qs2Snw","CazFamRealEstate","authenticated_full_channel","95","93","2","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCApMznnU70goY-0ucOaQNXA","CENTRAL TEXAS LIVING - Frank Adams","authenticated_full_channel","1","1","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCsiBMl-3q-I40160oSoKXvg","Central Texas Property Management, LLC","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCZvWg96vLbA3eGHCwnf3RRQ","Century 21 Premier Realtors","authenticated_full_channel","690","399","291","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCG8QDUqWOBEV0EZdFCPzBXg","Century 21 Premier Relators","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
