channel_id	channel_name	preliminary_scope	audit_lane
UC1SKo4gUtYWElAGwZSguqpA	Moving to Killeen Texas - Brina Gordon	high_local	audit_brina
UCqo6EaV9o6bFg4szBL8RYEw	Living in Central Texas - Aundrea Dudik	high_local	audit_aundrea
UCwoQakQVf2m8hfitYnymb5w	Mallory Anthony	high_local	audit_local_batch
UCeZysVNyhl-JqrqesQjcqPg	John Hayes	high_local	audit_local_batch
UCijF1zTR7RluBFGicVZU4SA	Military Living in Central Texas - Mathew Dick	high_local	audit_local_batch
UCvyNP3_ZgVLciAIev5t2Gog	LIVING IN CENTRAL TEXAS - Jacob Martinez	high_local	audit_local_batch
UCWykQcBeQE_1yY2lk9m23YQ	Trent Babb - Central Texas Land and Commercial	high_local	audit_local_batch
UCJs_jBKFIBm0o4HZg1mLMKQ	Stephen Harris - Selling Central Texas	high_local	root
UCZvWg96vLbA3eGHCwnf3RRQ	Century 21 Premier Realtors	high_local_brokerage	root
UCfDOrNekvd28MKc_S897MsQ	Elizabeth Thomas - Fort Hood Homes Group	high_local	root
UCvwxIfW2u71mpzrKastNbDg	Real Estate Steph CTX	needs_location_check	root
UCKVWHDP86oKOt6yZOH4lMEA	Shelly Salas - Your Home Sold Guaranteed	high_local	root
UCH_q3yrfScCGPYzSr9VVwGQ	Home in Texas Team	high_local	root
UCGEXUfJdSCBPtgWeF8Dl4lw	Robert Herrings Jr	needs_location_check	root
UCblhSimaUbM15R-kGm-0J1A	At Home in Texas	needs_location_check	root
UC3Wl4C9al_GLLFSe5nBSg6A	Hood Homes Blog - Brian E Adams	high_local	root
UCKuVz8ytHECKEAyRacDpm1g	Invest Central Texas	high_local	root
UCQIRCIpmSGFVbRXK6OYg6zA	PRC Properties Group	high_local_brokerage	root
UCKC2Qfjps_rzW0-lUQIP7KA	Nestled With Whitney	needs_location_check	root
UCApMznnU70goY-0ucOaQNXA	CENTRAL TEXAS LIVING	needs_location_check	root
UClKGrQTetWA6uF2ti9xSzhA	Shay Harris Broker MBA - Fort Hood TX	high_local	root
UCZAiPx4wER-v-Q4avEhVTZg	Sujin Park Henson	needs_location_check	root
UCkhp-b2FIwAZVlV6kRN-1mg	Rheajane Taylor	needs_location_check	root
UCjlRZ6P2r9NV3NQtGwWuBjg	Living at Fort Hood	high_local	root
UCMKRSmq9b8V07K9y4Zyfx_Q	Joanna Pearce	needs_location_check	root
UCMDuSkrGqJn-qnLynaC60jQ	Alberto Lopez Realtor	needs_location_check	root
UCDKBmfDQL51l_qsamkhGYHw	Teresa Ingram	needs_location_check	root
UCiDEHqXl4HEWQZ4mZ1nsbtQ	Twins Realty Team	needs_location_check	root
UCa5bz6lCwdTX6HQfzlOdZFA	Sandee Payne	high_local	root
UClqYZw4Suu5WVPGFlm8Tgeg	i35Group at Keller Williams	needs_location_check	root
UCGhBS7DKFyz9F54RfrBucQw	John Reider Properties	high_local_brokerage	root
UChfEhOd71uTgQaZPyy7rN-w	John Reider Properties second channel	high_local_brokerage	root
UCwS7c4HBA1fGOnxxuL5dweA	Live Central Texas with Cyndi Bell	needs_location_check	root
UCrN5LHFTL2qwkmd9z-90RgA	Carmen Colon Homes Team - Keller Williams	needs_location_check	root
UCC_f7viNGfRPH0gSnTsHlFw	Duplexes in Killeen Texas	high_local	root
UCr69-cf-6VLWlDIyi71v13g	Jessica Doree TX Premier Realty	needs_location_check	root
UCoSJo2-rE7ddishWTzj9sAA	Killeen to Austin Living - Darren Saint-Surin	high_local	root
UCdGuhzT0IUrH81vQN9tY6MQ	Linnemann Realty	high_local_brokerage	root
UChC-ZIQbKzAX5FAdCg7FAfg	Linnemann Realty second channel	high_local_brokerage	root
UCSKCjpoNVdfYTFxHy-jS_VA	Cloud Real Estate	high_local_brokerage	root
UCw9DgzcPb_rhdp3VHFFo_8Q	Jean Shine - Shine Team Realtors	high_local	root
UClhphoG2zMHA6r7nNyLFLgA	Samantha Hammonds - Central TX Realtor	needs_location_check	root
UCimsnaM-sbxLf-fp45KZgNw	Lovejoy Homes Realty	needs_location_check	root
UC8QQMyzGJEVql8HRpcNHhyw	Central Texas Living - Dom McShan eXp Realty	high_local	root
UCJn5yVbactAJ84qeDb22Htg	People 1st Realty - Gloria Watson	high_local_brokerage	root
UC-_SuyK4REF_TH5r1W2nQmw	Expert Rentals and Property Management	high_local_brokerage	root
UCv13WrX5B7qp6TIGskYpDDQ	Ott Group Realty - Homestead Real Estate	needs_location_check	root
UClinBn5SPDXw59ekiWude1A	HH Rental Properties	high_local_brokerage	root
UCCXc67-4lyPeo_P-HFiPTSg	Maria Jones Hall Realtor	needs_location_check	root
UC90LU7ZlcBNcni9cWgESSOQ	Luke Johnston - Central Texas Real Estate	needs_location_check	root
UCfS8-4IPB1bN8oN1N2zqsSw	Spradley Properties	needs_location_check	root
UCcGSAgE02PaFTfrlNU-WrcA	Scoggins Realty - Donna Scoggins	needs_location_check	root
UCW0Vt4ukxSblQWRyLF_l6GA	Nahir Diaz Realtor	needs_location_check	root
UCMfrI9m3oMyJsWco8Fq05Uw	James Jim Garvey eXp Realty	needs_location_check	root
UCVti4lMHZRwMQT83RrXTIrg	ELITE Realty Professionals Group	high_local_brokerage	root
UCm-ak6OuI6VnRU7xJbfndMw	Lisa Kamprath Realtor Belton TX	high_local	root
UCoht3EiOo8EqRe5exkOAH8w	New Builds in Central Texas	needs_location_check	root
UC5v4flYtIbs8z1ZQ-d-nGXw	George Cass - Texas Realtor	high_local_zero_eligible	root
