channel_id	channel_name	inclusion_basis
UCJs_jBKFIBm0o4HZg1mLMKQ	Stephen Harris - Selling Central Texas	Killeen office and Central Texas service area
UCvwxIfW2u71mpzrKastNbDg	Real Estate Steph CTX	Same licensed creator and team as Stephen Harris
UCZvWg96vLbA3eGHCwnf3RRQ	Century 21 Premier Realtors	Killeen-area brokerage channel
UCfDOrNekvd28MKc_S897MsQ	Elizabeth Thomas - Fort Hood Homes Group	Fort Hood and Central Texas creator
UCKVWHDP86oKOt6yZOH4lMEA	Shelly Salas - Your Home Sold Guaranteed	Central Texas brokerage executive and agent content
UCH_q3yrfScCGPYzSr9VVwGQ	Home in Texas Team	Temple-Belton team
UC3Wl4C9al_GLLFSe5nBSg6A	Hood Homes Blog - Brian E Adams	Fort Hood-area housing channel
UCQIRCIpmSGFVbRXK6OYg6zA	PRC Properties Group	Temple-Belton-Killeen-Cove-Harker team
UCKC2Qfjps_rzW0-lUQIP7KA	Nestled With Whitney	Central Texas agent with repeated target-city uploads
UCApMznnU70goY-0ucOaQNXA	CENTRAL TEXAS LIVING - Frank Adams	Killeen-Fort Hood creator
UClKGrQTetWA6uF2ti9xSzhA	Shay Harris Broker MBA - Fort Hood TX	Fort Hood and Central Texas broker
UCjlRZ6P2r9NV3NQtGwWuBjg	Living at Fort Hood - Hanna Smelser	Killeen-native Fort Hood housing creator
UCMDuSkrGqJn-qnLynaC60jQ	Alberto Lopez Realtor	Fort Hood-Killeen-Harker-Temple-Cove creator
UCMfrI9m3oMyJsWco8Fq05Uw	James Jim Garvey eXp Realty	Temple-Belton creator
UCa5bz6lCwdTX6HQfzlOdZFA	Sandee Payne	Central Texas resident and real-estate creator
UCGhBS7DKFyz9F54RfrBucQw	John Reider Properties	Killeen-Harker property-management brokerage
UChfEhOd71uTgQaZPyy7rN-w	John Reider Properties second channel	Killeen-Harker property-management brokerage
UCC_f7viNGfRPH0gSnTsHlFw	Duplexes in Killeen Texas	Killeen housing channel
UCoSJo2-rE7ddishWTzj9sAA	Killeen to Austin Living - Darren Saint-Surin	Killeen-Cove-Nolanville creator
UCdGuhzT0IUrH81vQN9tY6MQ	Linnemann Realty	Killeen-Harker-Cove-Temple brokerage
UChC-ZIQbKzAX5FAdCg7FAfg	Linnemann Realty second channel	Killeen-Harker-Cove-Temple brokerage
UCSKCjpoNVdfYTFxHy-jS_VA	Cloud Real Estate	Killeen brokerage and property management
UCw9DgzcPb_rhdp3VHFFo_8Q	Jean Shine - Shine Team Realtors	Central Texas brokerage team
UC8QQMyzGJEVql8HRpcNHhyw	Central Texas Living - Dom McShan	Central Texas agent
UCJn5yVbactAJ84qeDb22Htg	People 1st Realty - Gloria Watson	Bell County broker and creator
UC-_SuyK4REF_TH5r1W2nQmw	Expert Rentals and Property Management	Killeen-Fort Hood property management
UClinBn5SPDXw59ekiWude1A	HH Rental Properties	Harker Heights rental housing
UCVti4lMHZRwMQT83RrXTIrg	ELITE Realty Professionals Group	Fort Hood-to-Austin real-estate team
UCm-ak6OuI6VnRU7xJbfndMw	Lisa Kamprath Realtor Belton TX	Belton resident agent
UC90LU7ZlcBNcni9cWgESSOQ	Luke Johnston - Central Texas Real Estate	Killeen-Harker-Temple-Cove service area
UClhphoG2zMHA6r7nNyLFLgA	Samantha Hammonds - Central TX Realtor	Fort Hood-area agent
UCoht3EiOo8EqRe5exkOAH8w	New Builds in Central Texas	All six target cities in service area
UCr69-cf-6VLWlDIyi71v13g	Jessica Doree TX Premier Realty	All six target cities in service area
UCrN5LHFTL2qwkmd9z-90RgA	Carmen Colon Homes Team - Keller Williams	Killeen office and all target cities
UClqYZw4Suu5WVPGFlm8Tgeg	i35Group at Keller Williams	Registered Central Texas team with target-city hits
UCv13WrX5B7qp6TIGskYpDDQ	Ott Group Realty - Homestead Real Estate	Copperas Cove broker
UCCXc67-4lyPeo_P-HFiPTSg	Maria Jones Hall Realtor	Central Texas agent with target-city uploads
UCGEXUfJdSCBPtgWeF8Dl4lw	Robert Herrings Jr	Repeated Copperas Cove, Nolanville, and Killeen listing videos
UCblhSimaUbM15R-kGm-0J1A	At Home in Texas	Repeated target-city Coldwell Banker listing videos
UCZAiPx4wER-v-Q4avEhVTZg	Sujin Park Henson	Repeated Killeen and Harker Heights real-estate videos
UCkhp-b2FIwAZVlV6kRN-1mg	Rheajane Taylor	Repeated target-city residential drive videos
UCMKRSmq9b8V07K9y4Zyfx_Q	Joanna Pearce	Repeated Copperas Cove and Harker Heights listing videos
UCDKBmfDQL51l_qsamkhGYHw	Teresa Ingram	Repeated Copperas Cove and Nolanville listing videos
UCiDEHqXl4HEWQZ4mZ1nsbtQ	Twins Realty Team	Central Texas home-buyer education channel
UCimsnaM-sbxLf-fp45KZgNw	Lovejoy Homes Realty	Repeated Belton listing videos
UCfS8-4IPB1bN8oN1N2zqsSw	Spradley Properties	Belton residential rental videos
UCW0Vt4ukxSblQWRyLF_l6GA	Nahir Diaz Realtor	Target-market real-estate listing video
