source_report,finding_id,creator_or_channel,date,video_title,video_url,video_id,evidence_excerpt,timestamp,category_or_rule,severity,confidence,classification,missing_context,required_follow_up
"agent-findings-brina.md","BG-01","Brina Gordon / Moving to Killeen Texas","2025-12-06; 2025-12-13","How Soldiers Build Million-Dollar Portfolios With Their VA Loan; STOP Renting at Fort Hood Texas and Know What Your BAH Really Covers","https://www.youtube.com/watch?v=uyDO9TayGyE; https://www.youtube.com/watch?v=5uMDm9LyH1Q","uyDO9TayGyE; 5uMDm9LyH1Q","“soldiers at Fort Hood are using their zero down VA loan to secure six figure wealth, build million-dollar portfolios before they retire”; “That is how you have a million-dollar plus portfolio”; “more than likely over that million-dollar mark.” Second video: “Soldiers, stop renting”; use BAH on “something that can pay itself forward … that’s going to pay your kids, that’s going to pay you”; “use your BAH to cover your mortgage.”","00:00:40; 00:08:46; 00:09:39; 00:00:04; 00:00:38; 00:01:09","TREC Rule 535.155 misleading-or-likely-to-deceive standard; lender/VA/financial-advertising review","Moderate","Medium","Broker/counsel review flag; not a legal conclusion","Documented examples; material assumptions/costs/risks; lender/VA approval; whether disclosures appear elsewhere/on screen","Use conditional educational language; state VA eligibility, occupancy, entitlement, terms, taxes, insurance, reserves, rent/vacancy/repairs, and market-performance variability; route financing claims to licensed lender"
"agent-findings-brina.md","BG-02","Brina Gordon / Moving to Killeen Texas","2025-06-29; 2024-12-08; 2026-03-21; 2026-03-14","Killeen ISD Concerns: What Parents Need to Know Before Moving; 5 Best Neighborhoods in Killeen Texas; If I Were Moving to Killeen Texas in 2026, I’d Move Here; Killeen vs Temple vs Belton","https://www.youtube.com/watch?v=Ew8I089mGIw; https://www.youtube.com/watch?v=86piIrNULjU; https://www.youtube.com/watch?v=mt3S1pflqxM; https://www.youtube.com/watch?v=tEjSZkQ5OWk","Ew8I089mGIw; 86piIrNULjU; mt3S1pflqxM; tEjSZkQ5OWk","“some people are choosing or clients are choosing to relocate into the Belton, Salado or either the city of Harker Heights”; “Belton ISD is a very popular school district in concern to their ranking.” Other examples describe Belton ISD as “much more popular as far as academics,” say it is for “a parent,” and say clients want Belton “specifically because it does have a higher-ranking school district.”","00:00:21; 00:00:36; 00:00:48; 00:01:11; 00:08:05; 00:08:09; 00:13:37; 00:13:53; 00:05:18–00:05:46","FHA advertising/steering review; 2026 HUD school/crime nuance","Moderate","Medium","Elevated steering-risk item, expressly not a confirmed FHA violation","Consistent treatment of all prospects; source/date/method for rankings; visual presentation; whether services are conditioned on familial status","Cite neutral source/date; provide same data/options consistently; avoid directing clients based on familial status"
"agent-findings-brina.md","BG-03","Brina Gordon / Moving to Killeen Texas","2026-06-19; 2026-03-14","Where to Retire in Central Texas in 2026; Killeen vs Temple vs Belton","https://www.youtube.com/watch?v=1u3RA7NaVJU; https://www.youtube.com/watch?v=tEjSZkQ5OWk","1u3RA7NaVJU; tEjSZkQ5OWk","“my favorite communities for retirees and empty nesters”; “senior citizen centers”; “[a] retirement community.” Second video: “Belton, but it is a very family oriented town.”","00:00:39; 00:02:29; 00:07:13; 00:12:22","FHA familial-status advertising; age-oriented community marketing / HOPA verification","Moderate","Low-to-medium","Potential advertising-preference issue; no housing exclusion established","Whether referenced community is lawfully age-qualified; whether this is a named-dwelling advertisement; neutral alternatives","Use neutral feature language; identify lawful 55+ status only after verification"
"agent-findings-aundrea.md","A-01","Aundrea Dudik / Living in Central Texas","2025-05-30","Salado Texas EXPOSED","https://www.youtube.com/watch?v=MtKBGJCzjzM","MtKBGJCzjzM","Description: “including upscale Drake’s Landing and family-friendly Eagle Heights.” Captions: “Familyfriendly, newer development, close to everything.”","Description; 00:06:07–00:06:13","FHA §3604(c); TREC 531.19 familial-status preference","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","Whether phrase was changed; broker-approved fair-housing copy review","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-02","Aundrea Dudik / Living in Central Texas","2025-07-26","Temple Texas Hottest New Construction Community — Wilma’s Way","https://www.youtube.com/watch?v=wUTbACQP_iU","wUTbACQP_iU","Description chapter: “Why Wilma’s Way Temple TX Is Perfect for Families and Relocators.”","Description chapter 04:37","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","Spoken caption did not repeat phrase; retain visual/on-screen chapter display","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-03","Aundrea Dudik / Living in Central Texas","2025-08-08","Inside a $585,000 New Construction Home in Salado","https://www.youtube.com/watch?v=eG-Ncxh5B_U","eG-Ncxh5B_U","Description: “ample room to enjoy both indoor and outdoor living, making it ideal for families or anyone seeking luxury.”","Description","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","Normal broker/counsel review","Describe property features neutrally"
"agent-findings-aundrea.md","A-04","Aundrea Dudik / Living in Central Texas","2025-07-04","Central Texas Real Estate Market Update May 2025","https://www.youtube.com/watch?v=jEGH3cJRtvE","jEGH3cJRtvE","“Belton is gaining traction for ... familyfriendly.”","00:14:02–00:14:08","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","Confirm automatic-caption wording against audio","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-05","Aundrea Dudik / Living in Central Texas","2025-11-15","Touring Salado TX Newest Master-Planned Community — Stinnett Mill","https://www.youtube.com/watch?v=N3QjbDDZOX4","N3QjbDDZOX4","“People driving around on their golf carts. Very familyfriendly and just welcoming.”","00:04:26–00:04:32","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","Confirm audio wording","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-06","Aundrea Dudik / Living in Central Texas","2026-02-11","Tour This Killeen Home Just Minutes from Fort Hood","https://www.youtube.com/watch?v=tXs9-BEqNnI","tXs9-BEqNnI","Description: “it’s perfect for military families seeking space, comfort, and affordability.” Captions: “an excellent option for military families.”","Description; 00:03:09–00:03:14","FHA §3604(c); TREC 531.19 familial-status preference","High","High excerpt; moderate legal-risk","Potential familial-status advertising issue; military status alone not cited protected class","Normal broker/counsel review","Use neutral proximity/feature wording"
"agent-findings-aundrea.md","A-07","Aundrea Dudik / Living in Central Texas","2025-02-21","Tour This Massive Home in Temple — Wildflower Country Club","https://www.youtube.com/watch?v=aoj_5L4z7EE","aoj_5L4z7EE","Description: “A peaceful, family-friendly neighborhood with a strong sense of community.”","Description","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; not adjudicated","No audio/caption repeat found; preserve description capture","Use neutral property/amenity facts"
